[1.052] reset_hw_wtchpt_module():  Hardware watchpoint supported by the target 
[2.330] flash_f2_get_busy_status():  FuncExit
[2.331] flash_f2_get_busy_status():  FuncEntry
[2.331] flash_f2_get_busy_status():  FuncExit
[2.331] flash_f2_get_busy_status():  FuncEntry
[2.331] flash_f2_get_busy_status():  FuncExit
[2.331] flash_f2_get_busy_status():  FuncEntry
[2.332] flash_f2_get_busy_status():  FuncExit
[2.332] flash_f2_get_busy_status():  FuncEntry
[2.332] flash_f2_get_busy_status():  FuncExit
[2.332] flash_f2_get_busy_status():  FuncEntry
[2.333] flash_f2_get_busy_status():  FuncExit
[2.333] flash_f2_get_busy_status():  FuncEntry
[2.333] flash_f2_get_busy_status():  FuncExit
[2.333] flash_f2_get_busy_status():  FuncEntry
[2.333] flash_f2_get_busy_status():  FuncExit
[2.333] flash_f2_get_busy_status():  FuncEntry
[2.334] flash_f2_get_busy_status():  FuncExit
[2.334] flash_f2_get_busy_status():  FuncEntry
[2.334] flash_f2_get_busy_status():  FuncExit
[2.335] flash_f2_get_busy_status():  FuncEntry
[2.335] flash_f2_get_busy_status():  FuncExit
[2.336] flash_f2_get_busy_status():  FuncEntry
[2.336] flash_f2_get_busy_status():  FuncExit
[2.336] flash_f2_get_busy_status():  FuncEntry
[2.337] flash_f2_get_busy_status():  FuncExit
[2.337] flash_f2_get_busy_status():  FuncEntry
[2.337] flash_f2_get_busy_status():  FuncExit
[2.337] flash_f2_get_busy_status():  FuncEntry
[2.338] flash_f2_get_busy_status():  FuncExit
[2.338] flash_f2_get_busy_status():  FuncEntry
[2.338] flash_f2_get_busy_status():  FuncExit
[2.339] flash_f2_get_busy_status():  FuncEntry
[2.339] flash_f2_get_busy_status():  FuncExit
[2.339] flash_f2_get_busy_status():  FuncEntry
[2.340] flash_f2_get_busy_status():  FuncExit
[2.340] flash_f2_get_busy_status():  FuncEntry
[2.340] flash_f2_get_busy_status():  FuncExit
[2.340] flash_f2_get_busy_status():  FuncEntry
[2.340] flash_f2_get_busy_status():  FuncExit
[2.340] flash_f2_get_busy_status():  FuncEntry
[2.341] flash_f2_get_busy_status():  FuncExit
[2.341] flash_f2_get_busy_status():  FuncEntry
[2.341] flash_f2_get_busy_status():  FuncExit
[2.342] flash_f2_get_busy_status():  FuncEntry
[2.342] flash_f2_get_busy_status():  FuncExit
[2.342] flash_f2_get_busy_status():  FuncEntry
[2.342] flash_f2_get_busy_status():  FuncExit
[2.342] flash_f2_get_busy_status():  FuncEntry
[2.343] flash_f2_get_busy_status():  FuncExit
[2.343] flash_f2_get_busy_status():  FuncEntry
[2.343] flash_f2_get_busy_status():  FuncExit
[2.343] flash_f2_get_busy_status():  FuncEntry
[2.344] flash_f2_get_busy_status():  FuncExit
[2.344] flash_f2_get_busy_status():  FuncEntry
[2.344] flash_f2_get_busy_status():  FuncExit
